id,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,target
7930,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,4,0,2,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,5,0,2,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0,Class_2
14638,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Class_2
56909,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Class_8
35638,1,2,0,8,0,0,0,0,0,1,1,1,0,0,1,3,0,0,0,1,1,4,0,16,2,6,4,2,0,0,1,2,0,0,8,0,0,1,1,1,2,1,5,0,1,2,0,1,0,0,2,7,0,11,0,0,1,0,0,1,3,1,1,0,1,0,1,1,0,0,0,0,2,5,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,2,0,1,0,Class_6
7384,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,5,0,1,0,0,0,1,0,2,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13,1,0,3,2,1,0,0,4,1,0,0,0,0,2,2,0,0,0,0,1,0,2,1,0,2,3,1,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,Class_2
8118,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Class_2
44550,0,0,9,2,0,0,0,0,1,0,10,0,0,2,0,2,0,0,0,0,2,1,0,1,1,0,40,1,0,2,0,2,0,0,0,2,0,2,0,1,0,1,0,2,0,14,0,2,0,0,0,3,0,10,0,0,0,2,0,0,3,1,0,0,0,2,1,1,0,0,0,1,5,1,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,Class_6
26821,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Class_4
43565,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,Class_6
59271,0,0,1,0,0,0,0,2,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,1,0,12,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,Class_9
